,MAG01,MAG02,MAG03,MAG04,MAG05,MAG06,MAG07,MAG08,MAG09,MAG10,MAG11,MAG12,MAG13,MAG14,MAG15
F010,23.48379884,0,0,0,0,0.250976757,0,4.957079261,0,0,0,0,0,0,0
F101,55.21345238,0.194791681,0,0,0,0,0,0,0,0,2.513862248,0,0,0,0
F102,5.250480768,0,0,0,0,0,0,1.311247547,6.277749437,0.744108194,0,0,0,0,0
F104,61.38798919,0,0,0.107645528,0,0,0,0,0,0,0,0,0.009031163,0,0
F108,56.18099717,0.494763173,0,0,0,0,0.012232354,0,0,0,0,1.010648402,0,0,0
F011,61.45891511,0.032223696,0,0,0,0,0,0,0,0,0,0,0,0,0
F111,23.03698582,0,0,0,0,0,0,3.90711249,1.311717434,0,0,0,0.316269209,0,0
F112,46.41219126,0.169001741,0,0,0,1.791211382,0,0,0,0,0.938872388,0,0,0,0
F125,61.45030221,0,0,0.05107236,0,0,0,0,0,0,0.027043983,0,0,0,0
F126,61.51877621,0,0,0,0,0,0,0,0,0,0.012850149,0,0,0,0
F127,5.595574121,0.012003228,0,0,0,7.721062149,0,0,0,0,0,0.228742361,0,0,0
F128,44.97801159,0,0,0,0,2.378033439,0,0,0,0,0,0,0.029571531,0,0
F013,57.85653092,2.461851718,0.26634519,0.128414386,0,0,0,0,0,0,0,0,0,0,0
F130,36.46665927,0,0,0,0,3.618942981,0,0,0,0,0,0,0,0,0
F131,61.40751829,0.055114548,0,0.07851145,0,0,0,0,0,0,0,0,0,0,0
F134,61.25899344,0.103568143,0,0,0,0,0,0,0,0,0.046654173,0,0,0,0
F135,16.32576775,0.211825934,0.28284979,0,0,6.381959506,0,0,0,0,0,0,0,0,0
F136,57.75124442,1.485234306,0,0,0,0.010890379,0,0,0,0,0.702843775,0,0,0,0
F139,60.48869754,0.287907607,0.122308061,0,0,0.080485526,0,0,0,0,0,0,0.01408726,0,0
F014,61.43356147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F142,61.47116141,0.075239003,0,0,0,0,0,0,0,0,0,0,0,0,0
F143,61.55877099,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F144,61.46440706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F145,61.50959214,0,0.072186988,0,0,0,0,0,0,0,0,0,0,0,0
F146,61.52234565,0.054084562,0,0,0,0,0,0,0,0,0,0,0,0,0
F147,60.93801112,0,0,0,0,0.069543155,0,0,0,0,0,0,0,0,0
F148,61.15864281,0.04731157,0.162418544,0.055288245,0.177002597,0.00713086,0,0,0,0,0,0,0,0,0
F015,61.31587016,0.079850294,0,0,0,0,0,0,0,0,0,0,0,0,0
F150,41.27459757,4.711359885,0,0.468121391,0,1.860287386,0,0,0,0,0,0,0,0,0
F151,60.30898089,0.724883719,0.213292027,0.072245583,0,0.005545899,0,0,0,0,0,0,0,0,0
F154,57.41008605,0.445679341,0,0,0,0,0,0,0,0,0,0,0,0,0
F157,61.15791993,0,0,0,0,0,0,0,0,0,0.154146809,0,0.021013853,0,0
F158,42.38309371,0.026887065,0,0,0.046770664,2.665125356,0,0,0.018416971,0,0,0,0,0,0
F159,48.71934657,0.072040017,0,0,0,0,1.447057456,0,0.305316721,0,0,0,0.101467094,0,0
F016,61.49229938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F160,56.45408224,0,0,0,0,0.679820003,0,0,0,0,0,0,0,0,0
F161,18.11343051,0.039944438,0.037027469,0,0,4.266503295,0,0,0,0,0,0.038558658,0,0,2.91710254
F162,61.40195435,0,0,0,0.104703215,0,0,0,0,0,0,0,0,0,0
F163,0,0,0,0,0,8.443432514,0,0,0,0,0,0,0,0,0
F164,61.12715008,0,0,0,0,0,0,0,0,0,0,0.077559955,0,0,0
F165,61.37020455,0.093334284,0,0.055273166,0,0,0,0,0,0,0,0,0,0,0
F166,46.49888754,0.074760597,0.9077751,0,0.156157352,1.956136129,0,0,0,0,0,0,0,0,0
F167,50.19306363,0.220119107,0,0,0,0,0,1.511667734,0,0,0,0,0,0,0
F168,56.68396521,0.169835499,0,0.144403515,0,0.64034004,0,0,0,0,0,0,0,0,0
F169,56.26879109,0,0.50445708,0,0.910059362,0.538074229,0,0,0,0,0,0,0,0,0
F017,61.51729146,0,0,0,0,0,0,0,0,0,0.006016147,0,0,0,0
F170,61.40283875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F171,58.47214518,0.036289163,0.702846931,0.065629061,0,0.307550032,0,0,0,0,0,0.014261442,0,0,0
F173,61.4883346,0,0,0,0,0,0,0,0,0,0.020747995,0,0,0,0
F174,61.09089871,0.140126843,0,0,0,0,0,0,0,0,0,0,0,0,0
F178,4.108555807,0,0.02420215,0,0,8.194609001,0,0,0,0,0.004351622,0.203521911,0,0,0
F179,40.55310297,0.34357183,0,0.187197971,0,2.796759003,0,0,0,0,0,0,0,0,0
F018,60.56018954,0.598506521,0,0,0,0,0,0,0,0,0,0,0,0,0
F180,61.39495331,0,0,0,0.049112536,0.011798766,0,0,0,0,0,0.010843631,0,0,0
F181,61.39224133,0,0.157736603,0,0,0,0,0,0,0,0,0,0.014176069,0,0
F182,60.41534904,0.736792228,0,0,0,0,0,0,0,0,0,0,0,0,0
F183,60.98813629,0,0,0,0,0.080713138,0,0,0,0,0,0,0,0,0
F184,51.73723761,0,0,0,0,0.308995087,1.170644046,0,0,0,0,0,0,0,0
F185,61.36831407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F187,60.36017383,0,0,0,0,0.169592517,0,0,0,0,0,0,0,0,0
F188,61.10165838,0,0,0,0.313794053,0,0,0,0,0,0.021084681,0,0,0,0
F189,59.27250033,0.026647529,0,0.052607571,0.142385677,0.289629659,0,0,0,0,0,0.014986882,0,0,0
F019,61.24730219,0.036912834,0,0.205580708,0,0,0,0,0,0,0,0,0,0,0
F191,59.51198615,0.03311746,0,0,0,0,0,0.27379525,0,0,0,0,0,0,0
F192,37.01104074,0.044589754,0,0,0,0,0,3.338438779,0,0,0,0.018842862,0,0,0
F194,59.76392264,0.83289078,0.132019703,0.313245473,0.078977947,0,0,0,0,0,0.027955617,0,0.027167434,0,0
F195,61.27342846,0,0.276027918,0,0,0,0,0,0,0,0,0,0,0,0
F197,61.38949287,0.080360166,0,0,0,0,0,0,0,0,0,0,0,0,0
F198,60.42931608,0,0,0,0,0.140546826,0,0,0,0,0.04103699,0,0.020531463,0,0
F002,60.61133996,0.154848742,0,0,0.182116232,0.027398485,0,0.045862795,0,0,0,0,0,0,0
F020,44.14385757,0,0,0.169201644,0,2.371962194,0,0,0,0,0,0,0,0,0
F200,0,20.33256575,0,0,0,4.252372774,0,0,0,0,0,0,0.720471821,0,0
F201,60.10193826,0,0,0,0,0,0,0,0,0,0.628925949,0,0,0,0
F203,61.40358379,0.051870586,0.082602672,0.057760965,0,0,0,0,0,0,0,0.010317116,0,0,0
F204,61.25270149,0,0,0,0,0.034376061,0,0,0,0,0,0,0,0,0
F207,61.47212605,0.069343178,0,0,0,0,0,0,0,0,0,0,0,0,0
F208,61.5349104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F022,40.63369661,0.033786894,0,0,0,2.977953078,0,0,0,0,0,0,0,0,0
F023,61.38773117,0,0,0,0,0,0,0,0,0,0.026089202,0,0,0,0
F024,33.01929557,0,0.116308191,0,0,3.971650851,0,0,0,0,0,0,0,0,0
F025,57.97692466,0,0,0,0,0.500426391,0,0,0,0,0,0,0,0,0
F026,61.26188021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F027,61.52075339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F028,60.52348411,0.522033797,0,0,0,0,0,0,0,0,0,0.056286698,0,0,0
F029,59.71379826,0.090363544,1.068241823,0.238843555,0,0,0,0,0,0,0,0.030847309,0.018956338,0,0
F003,61.45764867,0,0,0,0,0,0,0,0,0,0.018728379,0,0,0,0
F030,60.31060657,0.07249779,0,0,0.245279359,0,0,0,0,0,0.021794187,0.185105974,0,0,0
F031,12.03603483,7.637202627,0,0,0,5.132778654,0,0,0,0,0.546232152,0,0,0,0
F032,61.52180057,0,0,0,0,0,0,0,0,0,0.02168822,0,0,0,0
F033,56.65072368,0.228562712,3.123963165,0.476329533,0.204114254,0,0,0,0,0,0,0,0,0,0
F034,7.275589754,0.667423968,0,0,0,7.431946065,0,0,0,0,0.033570599,0,0,0,0
F035,60.82884985,0,0,0,0,0,0,0,0,0,0.271411084,0,0,0,0
F036,61.48135617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F037,61.03449397,0.32829679,0,0.048387094,0,0,0,0,0,0,0,0.016704699,0,0,0
F038,59.37991654,0,0,0,0,0.28194504,0,0,0,0,0,0,0,0,0
F039,60.92024214,0,0,0,0.458991687,0,0,0,0,0,0,0,0,0,0
F004,60.89613972,0.033366915,0.074838867,0.077851462,0.052099118,0.00774469,0,0,0,0,0.07284849,0.070318664,0,0,0
F040,32.62304449,3.417332768,1.15079113,0.827358168,0.680630833,3.000125534,0,0,0,0,0,0,0,0,0
F042,52.21932322,2.320944927,0,0.818571965,0,0.615130257,0,0,0,0,0.299926239,0,0,0,0
F421,61.13539577,0,0,0,0,0.053177142,0,0.006741703,0,0,0,0,0,0,0
F422,61.41054779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F424,60.21989008,0,0,0,0,0,0,0.180279731,0,0,0,0,0,0,0
F426,61.36830548,0.078907574,0,0,0,0,0,0,0,0,0,0.020467985,0,0,0
F427,61.28693873,0,0,0,0,0,0,0.035688489,0,0,0,0,0,0,0
F428,61.52568801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F043,58.92964594,0.258641533,0.105147779,0,0.129530579,0.308181032,0,0,0,0,0,0,0,0,0
F430,61.57269506,0,0,0,0,0,0,0,0,0,0,0.007804706,0,0,0
F432,61.46759024,0,0,0,0,0,0,0,0,0,0,0.007537614,0,0,0
F433,58.62088817,0.124437226,0.175977652,0,0.073231157,0.366010776,0,0,0,0,0.007250963,0,0,0,0
F436,61.47788384,0.041207639,0,0,0,0,0,0,0,0,0.007795203,0,0,0,0
F437,61.5544207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F438,54.42961988,0,0,0,0,0.741667808,0.361346058,0,0,0,0,0,0,0,0
F439,59.81364674,0,0,0,0,0,0,0.235300448,0,0,0.010705265,0,0,0,0
F440,61.46383623,0,0,0,0,0,0,0,0,0,0.013710544,0,0,0,0
F441,60.11384561,0,0,0,0,0.183872137,0,0,0,0,0.041172357,0,0,0,0
F442,61.38934339,0.04833785,0,0,0,0,0,0.011115047,0,0,0.004575925,0,0,0,0
F443,61.52473814,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F444,61.22168749,0.132473782,0.070619672,0.112090521,0,0,0,0,0,0,0,0.013603288,0,0,0
F446,42.89202714,0,0,0,0,0.717670776,0.133052647,1.724506518,0,0,0,0,0,0,0
F447,61.32147311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F448,57.24605888,0,2.011494861,0,0,0,0,0,0,0,0,0,0,0,0
F449,61.55230659,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F045,59.25011864,1.472256559,0,0.081040296,0.160125424,0,0,0,0,0,0.006872548,0,0.008649881,0,0
F451,61.22320423,0.024688805,0,0,0,0,0,0,0,0,0,0.072023886,0,0,0
F046,0,0,0,0,0,8.630008061,0,0,0,0,0,0,0,0,0
F460,61.21533092,0.267472551,0,0,0.033178448,0,0,0,0,0,0,0,0,0,0
F461,61.4130487,0.028979671,0,0,0,0.019020166,0,0,0,0,0,0,0,0,0
F047,1.485084316,0,0,0,0,8.385680439,0,0,0,0,0,0,0.229109053,0,0
F048,60.93077484,0.223765308,0,0.088919177,0,0,0,0.028928152,0,0,0.025622308,0,0,0,0
F049,52.75478023,0.057350166,0.085534564,0,0,1.222392832,0,0,0,0,0,0,0,0,0
F005,61.15827574,0,0,0,0.16811909,0,0,0,0,0,0,0,0,0,0
F050,59.23073884,0.046878042,0,0,0.076834422,0.277031671,0,0,0,0,0.015973864,0,0.009947043,0,0
F051,12.32139481,0.598308791,5.44889765,0,6.738520429,0.979160742,4.560125619,0,0,0,0,0,0,0,0
F053,61.51661143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F054,61.48843981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F055,61.28543896,0,0,0,0,0.035043107,0,0,0,0,0,0,0,0,0
F056,52.60628886,0.454045414,0,0.320594928,0.3561909,0.325075857,0,0,0.680605848,0,0,0,0,0,0
F057,60.81900189,0,0.448703976,0.081428738,0,0,0,0,0,0,0,0,0,0,0
F058,61.04098704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F059,61.47583471,0,0.08231133,0,0,0,0,0,0,0,0,0,0,0,0
F006,61.54568713,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F060,61.03076746,0.13336667,0,0,0,0,0,0,0,0,0.162945304,0,0,0,0
F062,59.3172217,0,0.616670233,0,0.308503753,0.133696078,0,0,0,0,0,0.025442036,0,0,0
F063,61.47263914,0.069301436,0,0,0,0,0,0,0,0,0.01606011,0,0,0,0
F065,58.21743689,0.260484643,0,1.326912769,0,0.12906144,0,0,0,0,0,0,0,0,0
F066,13.04542685,0,0,0,0,7.054690404,0,0,0,0,0,0,0,0,0
F068,60.80656005,0.025609705,0,0,0,0.030392189,0,0,0,0,0.230881596,0,0.005007773,0,0
F069,16.3600678,0.011443108,0,0,0,4.9452319,2.051047337,0,0,0,0,0,0,0,0
F071,9.316921379,0.188613218,2.560033608,0,0,7.036202392,0,0,0,0,0,0,0,0,0
F073,53.35057841,4.47766178,0,0,0,0.105457252,0,0,0,0.130645107,0,0,0,0,0
F074,59.74450279,0,0,0,0.189557411,0,0,0,0,0,0.543836334,0,0,0,0
F076,59.10066967,1.680602539,0,0,0,0,0,0,0,0,0,0,0,0,0
F078,6.087763074,0,0,0,0,7.879807783,0,0,0,0,0,0,0,0,0
F079,54.92719636,0.21792226,0.330821385,0.268037714,0,0.78033955,0,0,0,0,0,0.041464895,0,0,0
F008,61.47367262,0.05289057,0,0.044003106,0,0,0,0,0,0,0.004602335,0.005414327,0,0,0
F080,54.88383968,1.738295833,2.47014012,0,0,0,0,0,0,0,0,0.237916467,0,0,0
